id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1628981,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1628981,Bruno Fernando,bruno-fernando,6-9,240,24,F-C,1610612737,nba/players/1628981
1628369,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1628369,Jayson Tatum,jayson-tatum,6-8,210,0,F-G,1610612738,nba/players/1628369
1627759,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1627759,Jaylen Brown,jaylen-brown,6-6,223,7,G-F,1610612738,nba/players/1627759
1629185,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1629185,Chris Chiozza,chris-chiozza,5-11,175,4,G,1610612751,nba/players/1629185
201599,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),201599,DeAndre Jordan,deandre-jordan,6-11,265,6,C,1610612751,nba/players/201599
203915,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),203915,Spencer Dinwiddie,spencer-dinwiddie,6-5,215,26,G,1610612751,nba/players/203915
1626179,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1626179,Terry Rozier,terry-rozier,6-1,190,3,G,1610612766,nba/players/1626179
1630268,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1630268,Nate Darling,nate-darling,6-6,200,30,G,1610612766,nba/players/1630268
202329,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),202329,Al-Farouq Aminu,al-farouq-aminu,6-8,220,5,F,1610612741,nba/players/202329
1629690,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),1629690,Adam Mokoka,adam-mokoka,6-4,190,20,G,1610612741,nba/players/1629690
1629636,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1629636,Darius Garland,darius-garland,6-1,192,10,G,1610612739,nba/players/1629636
1628422,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1628422,Damyean Dotson,damyean-dotson,6-5,210,21,G,1610612739,nba/players/1628422
1628386,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1628386,Jarrett Allen,jarrett-allen,6-11,243,31,C,1610612739,nba/players/1628386
1630267,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1630267,Facundo Campazzo,facundo-campazzo,5-10,195,7,G,1610612743,nba/players/1630267
