id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1630164,Mon Aug 09 2021 04:15:28 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:39 GMT-0600 (Mountain Daylight Time),1630164,James Wiseman,james-wiseman,7-0,240,33,C,1610612744,nba/players/1630164
202322,Mon Aug 09 2021 04:14:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:52 GMT-0600 (Mountain Daylight Time),202322,John Wall,john-wall,6-3,210,1,G,1610612745,nba/players/202322
1630231,Mon Aug 09 2021 04:15:07 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:57 GMT-0600 (Mountain Daylight Time),1630231,Kenyon Martin Jr.,kenyon-martin-jr,6-6,215,6,F,1610612745,nba/players/1630231
1630256,Mon Aug 09 2021 04:15:19 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:59 GMT-0600 (Mountain Daylight Time),1630256,Jae'Sean Tate,jaesean-tate,6-4,230,8,F,1610612745,nba/players/1630256
1630237,Mon Aug 09 2021 04:15:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:04 GMT-0600 (Mountain Daylight Time),1630237,Anthony Lamb,anthony-lamb,6-6,227,33,F,1610612745,nba/players/1630237
1630199,Mon Aug 09 2021 04:15:30 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:19 GMT-0600 (Mountain Daylight Time),1630199,Cassius Stanley,cassius-stanley,6-5,190,2,G,1610612754,nba/players/1630199
1627747,Mon Aug 09 2021 04:15:31 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:30 GMT-0600 (Mountain Daylight Time),1627747,Caris LeVert,caris-levert,6-6,205,22,G,1610612754,nba/players/1627747
201586,Mon Aug 09 2021 04:15:31 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:57 GMT-0600 (Mountain Daylight Time),201586,Serge Ibaka,serge-ibaka,6-10,235,9,F,1610612746,nba/players/201586
1629244,Mon Aug 09 2021 04:15:11 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:15:11 GMT-0600 (Mountain Daylight Time),1629244,Cameron Reynolds,cameron-reynolds,6-7,225,23,F,,nba/players/1629244
1630187,Mon Aug 09 2021 04:15:33 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:58 GMT-0600 (Mountain Daylight Time),1630187,Daniel Oturu,daniel-oturu,6-8,240,10,C,1610612746,nba/players/1630187
1628398,Mon Aug 09 2021 04:15:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:16 GMT-0600 (Mountain Daylight Time),1628398,Kyle Kuzma,kyle-kuzma,6-10,221,0,F,1610612747,nba/players/1628398
201188,Mon Aug 09 2021 04:15:29 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:27 GMT-0600 (Mountain Daylight Time),201188,Marc Gasol,marc-gasol,6-11,255,14,C,1610612747,nba/players/201188
202693,Mon Aug 09 2021 04:15:32 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:32 GMT-0600 (Mountain Daylight Time),202693,Markieff Morris,markieff-morris,6-9,245,88,F,1610612747,nba/players/202693
1630214,Mon Aug 09 2021 04:15:35 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:44 GMT-0600 (Mountain Daylight Time),1630214,Xavier Tillman,xavier-tillman,6-8,245,2,F,1610612763,nba/players/1630214
1626145,Mon Aug 09 2021 04:15:37 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:53 GMT-0600 (Mountain Daylight Time),1626145,Tyus Jones,tyus-jones,6-0,196,21,G,1610612763,nba/players/1626145
201609,Mon Aug 09 2021 04:15:27 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:13 GMT-0600 (Mountain Daylight Time),201609,Goran Dragic,goran-dragic,6-3,190,7,G,1610612748,nba/players/201609
1628411,Mon Aug 09 2021 04:15:37 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:30 GMT-0600 (Mountain Daylight Time),1628411,Wes Iwundu,wes-iwundu,6-6,195,4,F,1610612740,nba/players/1628411
1629117,Mon Aug 09 2021 04:15:42 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:41 GMT-0600 (Mountain Daylight Time),1629117,Wenyen Gabriel,wenyen-gabriel,6-9,205,32,F,1610612740,nba/players/1629117
1628995,Mon Aug 09 2021 04:15:43 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:03 GMT-0600 (Mountain Daylight Time),1628995,Kevin Knox II,kevin-knox-ii,6-7,215,20,F,1610612752,nba/players/1628995
1629021,Mon Aug 09 2021 04:15:34 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:59 GMT-0600 (Mountain Daylight Time),1629021,Moritz Wagner,moritz-wagner,6-11,245,21,F-C,1610612753,nba/players/1629021
201980,Mon Aug 09 2021 04:15:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:24 GMT-0600 (Mountain Daylight Time),201980,Danny Green,danny-green,6-6,215,14,G,1610612755,nba/players/201980
1627732,Mon Aug 09 2021 04:14:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:28 GMT-0600 (Mountain Daylight Time),1627732,Ben Simmons,ben-simmons,6-11,240,25,G-F,1610612755,nba/players/1627732
203552,Mon Aug 09 2021 04:14:59 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:30 GMT-0600 (Mountain Daylight Time),203552,Seth Curry,seth-curry,6-2,185,31,G,1610612755,nba/players/203552
101108,Mon Aug 09 2021 04:15:00 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:48 GMT-0600 (Mountain Daylight Time),101108,Chris Paul,chris-paul,6-0,175,3,G,1610612756,nba/players/101108
203468,Mon Aug 09 2021 04:14:55 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:14 GMT-0600 (Mountain Daylight Time),203468,CJ McCollum,cj-mccollum,6-3,190,3,G,1610612757,nba/players/203468
