id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
1630018,Mon Aug 09 2021 04:49:08 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:06 GMT-0600 (Mountain Daylight Time),1630018,Eric Oetter,Trainer,3,1610612763,nba/coaches/1630018
1787,Mon Aug 09 2021 04:49:43 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:27 GMT-0600 (Mountain Daylight Time),1787,Erik Spoelstra,Head Coach,1,1610612748,nba/coaches/1787
2630,Mon Aug 09 2021 04:49:50 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:47 GMT-0600 (Mountain Daylight Time),2630,Bob Beyer,Assistant Coach,2,1610612740,nba/coaches/2630
1370,Mon Aug 09 2021 04:49:54 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:16 GMT-0600 (Mountain Daylight Time),1370,Roger Hinds,Trainer,3,1610612752,nba/coaches/1370
1629758,Mon Aug 09 2021 04:49:55 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:37 GMT-0600 (Mountain Daylight Time),1629758,Dave Bliss,Assistant Coach,2,1610612760,nba/coaches/1629758
203535,Mon Aug 09 2021 04:49:59 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:50:00 GMT-0600 (Mountain Daylight Time),203535,Brad Stevens,Head Coach,1,1610612738,nba/coaches/203535
202859,Mon Aug 09 2021 04:49:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:38 GMT-0600 (Mountain Daylight Time),202859,David Akinyooye,Assistant Coach,2,1610612760,nba/coaches/202859
202427,Mon Aug 09 2021 04:50:04 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:05 GMT-0600 (Mountain Daylight Time),202427,Jamahl Mosley,Head Coach,1,1610612753,nba/coaches/202427
1865,Mon Aug 09 2021 04:49:58 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:04 GMT-0600 (Mountain Daylight Time),1865,Randy Ayers,Assistant Coach,2,1610612756,nba/coaches/1865
201046,Mon Aug 09 2021 04:49:59 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:08 GMT-0600 (Mountain Daylight Time),201046,Lindsey Harding,Assistant Coach,2,1610612758,nba/coaches/201046
1018,Mon Aug 09 2021 04:49:21 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:06:55 GMT-0600 (Mountain Daylight Time),1018,Wes Unseld,Head Coach,1,1610612764,nba/coaches/1018
